Ref,Val,Package,PosX,PosY,Rot,Side
"ANALOGICI1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",-50.900000,2.500000,-90.000000,bottom
"Digitali1","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",-41.700000,50.800000,90.000000,bottom
"Digitali2","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",-63.500000,50.800000,90.000000,bottom
"J1","Conn_01x09","PinHeader_1x09_P2.54mm_Vertical",-80.213200,28.243200,0.000000,bottom
"J2","Conn_01x09","PinHeader_1x09_P2.54mm_Vertical",-80.314800,3.462800,0.000000,bottom
"Power1","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",-45.700000,2.500000,90.000000,bottom
"C1","10uF 10V","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",70.866000,24.992000,0.000000,top
"C2","10uF 10V","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",72.644000,10.641000,180.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.027200,47.263600,180.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",65.224000,41.650200,90.000000,top
"C5","865080253012 470uF 10V","CP_Elec_8x6.2",57.783200,31.652400,0.000000,top
"C6","10uF 10V","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.801392,6.094400,0.000000,top
"C7","1uF 10V","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",50.000000,8.000000,-90.000000,top
"C8","10uF 10V","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",50.771400,20.898400,90.000000,top
"C9","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.199997,7.999999,-90.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",75.082400,6.958000,-90.000000,top
"C11","10uF 10V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",52.683200,24.852400,90.000000,top
"D1","LED","LED_0805_2012Metric",34.483200,15.052400,180.000000,top
"D2","1N4001","D_DO-41_SOD81_P10.16mm_Horizontal",35.283200,39.832400,-90.000000,top
"D3","LED_ABRG","LED_D5.0mm-4_RGB",19.436000,11.784000,0.000000,top
"D6","AQ3530-01FTG","SOD2613X100N",60.983200,5.752400,90.000000,top
"D7","BAT54T1G","SOD3716X135N",57.783200,11.752400,-90.000000,top
"D9","BAT54T1G","SOD3716X135N",63.583200,14.252400,-90.000000,top
