"Source:","C:\Users\pc\Documents\progetto PCB semplice\3° versione Kicad\live\Shield Arduino v2-1\Shield Arduino v2-1.kicad_sch"
"Date:","26/06/2022 13:20:24"
"Tool:","Eeschema (6.0.6)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","84"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","STANDARD"
"","","ANALOGICI1","Conn_01x06","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","","","",""
"","","C1","10uF 10V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C2","10uF 10V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C3","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C4","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C5","865080253012 470uF 10V","SamacSys_lib:875105244013","Capacitor_SMD:CP_Elec_8x6.2","https://www.we-online.com/catalog/datasheet/875105244013.pdf","Wurth Elektronik 470uF Polymer Capacitor 10V dc Surface Mount -865080253012","5.8","","Wurth Elektronik","875105244013","710-875105244013","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/875105244013?qs=0KOYDY2FL29vol3nJUb9dw%3D%3D",""
"","","C6","10uF 10V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C7","1uF 10V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C8","10uF 10V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C9","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C10","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","C11","10uF 10V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","D1","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","","","",""
"","","D2","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","",""
"","","D3","LED_ABRG","Device:LED_ABRG","LED_THT:LED_D5.0mm-4_RGB","~","","","","","","","",""
"","","D6","AQ3530-01FTG","SamacSys_lib:AQ3530-01FTG","SOD2613X100N","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_aq3530-01ftg_datasheet.pdf.pdf","0.3pF 22kV unidirectional TVS diode","1","","LITTELFUSE","AQ3530-01FTG","576-AQ3530-01FTG","https://www.mouser.co.uk/ProductDetail/Littelfuse/AQ3530-01FTG?qs=yqaQSyyJnNi2YblDWyDyIw%3D%3D",""
"","","D7","BAT54T1G","LIBRARY LOADER_AUTO:BAT54T1G","SOD3716X135N","http://www.onsemi.com/pub/Collateral/BAT54T1-D.PDF","","1.35","","onsemi","BAT54T1G","863-BAT54T1G","https://www.mouser.co.uk/ProductDetail/onsemi/BAT54T1G?qs=vLkC5FC1VN9XK%252B%252BtdP3lYw%3D%3D",""
"","","D9","BAT54T1G","LIBRARY LOADER_AUTO:BAT54T1G","SOD3716X135N","http://www.onsemi.com/pub/Collateral/BAT54T1-D.PDF","","1.35","","onsemi","BAT54T1G","863-BAT54T1G","https://www.mouser.co.uk/ProductDetail/onsemi/BAT54T1G?qs=vLkC5FC1VN9XK%252B%252BtdP3lYw%3D%3D",""
"","","Digitali1","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~","","","","","","","",""
"","","Digitali2","Conn_01x08","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","","","","",""
