Designator,Mid X,Mid Y,Rotation,Layer
C1,70.8828,25.0396,0.0,top
C2,72.6608,10.6886,180.0,top
C3,40.044,47.3112,180.0,top
C4,65.2408,41.6978,90.0,top
C6,40.818192,6.142,0.0,top
C7,50.0168,8.0476,-90.0,top
C8,50.7882,20.946,90.0,top
C9,52.216797,8.047599,-90.0,top
D1,34.5,15.1,180.0,top
D2,35.3,39.88,-90.0,top
D3,19.4528,11.8316,0.0,top
F1,20.9,4.5,0.0,top
J3,4.5,33.5486,90.0,top
K1,21.3,37.0,180.0,top
R1,40.0218,43.8356,180.0,top
R2,62.9072,41.702,90.0,top
R3,24.4,17.4,90.0,top
R4,34.5,17.7,180.0,top
R5,30.3698,17.5466,90.0,top
R6,19.8,17.1,90.0,top
R7,40.7076,9.444,-90.0,top
R8,43.2476,9.444,-90.0,top
R9,43.816789,12.8476,0.0,top
R10,43.816789,15.3476,180.0,top
R11,47.716806,8.047599,90.0,top
R12,55.2,7.2,-90.0,top
R13,60.5,12.5936,-90.0,top
R14,53.916794,19.747601,0.0,top
R15,58.31681,19.647599,180.0,top
R16,62.2468,19.647599,180.0,top
R17,59.5798,16.4036,0.0,top
R18,41.409808,19.8326,180.0,top
R19,48.6292,20.9624,-90.0,top
R20,45.71681,19.747601,0.0,top
R21,43.716789,17.547601,0.0,top
R22,12.2088,18.172601,90.0,top
U1,71.5178,17.9276,-90.0,top
U2,51.3168,14.2476,90.0,top
U3,12.7168,23.0076,0.0,top
Power1,45.87,2.7476,90.0,bottom
TEMP1,8.2968,24.0086,0.0,top
TEMP2,3.9788,24.0086,0.0,top
Q2,34.1798,25.9286,90.0,top
FID3,5.1984,3.9068,0.0,top
R26,34.4338,19.9,180.0,top
C11,52.7,24.9,90.0,top
Q3,29.755172,21.990069,-90.0,top
R32,77.3344,55.926,0.0,top
R24,54.9538,23.5114,90.0,top
R27,29.176,26.0048,-90.0,top
D7,57.8,11.8,-90.0,top
MIC1,35.1,11.1,180.0,top
R35,69.6858,55.5408,180.0,top
R30,62.9802,53.712,0.0,top
JP1,55.5076,54.9058,90.0,top
FID1,8.2464,54.91,0.0,top
FID2,71.594,5.3292,0.0,top
SW1,53.8,43.8,0.0,top
R28,19.427428,25.930131,-90.0,top
D6,61.0,5.8,90.0,top
ESP8266,76.0,49.9,0.0,top
Q4,19.9558,21.6106,-90.0,top
R25,24.4008,26.0716,-90.0,top
R31,62.7516,55.7948,180.0,top
SW2,43.5028,44.0536,0.0,top
D9,63.6,14.3,-90.0,top
L1,61.0,24.0,180.0,top
C5,57.8,31.7,0.0,top
VR1,45.2,28.6,90.0,top
C10,75.0992,7.0056,-90.0,top
Q1,25.056172,21.895069,-90.0,top
R33,44.7716,6.1928,0.0,top
R34,34.6,22.7,180.0,top
R23,76.3692,2.9416,0.0,top
R29,50.5,54.2,90.0,top
J1,80.23,28.2908,0.0,bottom
J2,80.3316,3.5104,0.0,bottom
ANALOGICI1,50.9168,2.7476,-90.0,bottom
Digitali1,41.7168,50.8476,90.0,bottom
Digitali2,63.5168,50.8476,90.0,bottom
